J,R,E,M,algo,runtime,kendalls_tau,mae
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),26,TEMPO,,0.030303030303030387,0.78125
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),27,TEMPO,,0.045454545454545525,0.76171875
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),28,TEMPO,,0.10606060606060613,0.73046875
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),29,TEMPO,,0.030303030303030387,0.9765625
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),3,TEMPO,,0.0757575757575758,0.92578125
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),30,TEMPO,,0.09090909090909094,0.8125
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),31,TEMPO,,0.06060606060606066,1.21875
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),32,TEMPO,,0.10606060606060613,0.98046875
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),33,TEMPO,,0.10606060606060613,1.015625
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),34,TEMPO,,0.045454545454545525,0.84375
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),35,TEMPO,,0.045454545454545525,1.03125
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),36,TEMPO,,0.1363636363636364,0.73828125
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),37,TEMPO,,0.06060606060606066,0.9140625
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),38,TEMPO,,0.10606060606060613,0.98046875
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),39,TEMPO,,0.10606060606060613,0.9609375
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),4,TEMPO,,0.0757575757575758,0.69921875
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),40,TEMPO,,0.15151515151515155,0.78515625
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),41,TEMPO,,0.06060606060606066,0.98828125
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),42,TEMPO,,0.09090909090909094,0.5859375
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),43,TEMPO,,0.045454545454545525,0.78515625
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),44,TEMPO,,0.1363636363636364,0.859375
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),45,TEMPO,,0.06060606060606066,0.7890625
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),46,TEMPO,,0.06060606060606066,0.8671875
726,0.21,Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),47,TEMPO,,0.09090909090909094,0.91796875
